"movie_title","release_date","genre","MPAA_rating","total_gross","inflation_adjusted_gross"
"Prefontaine",2019-01-24,"Drama","PG-13",590817,1085093
"Shadow Conspiracy",2019-01-31,"Thriller/Suspense","R",2154540,3957025
"That Darn Cat",2019-02-14,"Comedy","PG",18301828,33613158
"Jungle 2 Jungle",2019-03-07,"Comedy","PG",59925026,110058379
"The Sixth Man",2019-03-28,"Comedy","PG-13",14765099,27117599
"Grosse Pointe Blank",2019-04-11,"Black Comedy","R",28084357,51579764
"Romy and Michele's High School Reunion",2019-04-25,"Comedy","R",29235353,53693680
"Gone Fishin'",2019-05-30,"Comedy","PG",19745922,36265379
"Con Air",2019-06-06,"Action","R",101117573,185712664
"Hercules",2019-06-13,"Adventure","G",99112101,182029412
"George Of The Jungle",2019-07-16,"Comedy","PG",105263257,193326632
"Nothing To Lose",2019-07-18,"Comedy","R",44480039,81692095
"Air Bud",2019-08-01,"Comedy","PG",24646936,45266588
"G.I. Jane",2019-08-22,"Drama","R",48169156,88467531
"A Thousand Acres",2019-09-19,"Drama","R",7928412,14561324
"Washington Square",2019-10-05,"Drama","PG",1775644,3257546
"Rocket Man",2019-10-10,"Comedy","PG",15448043,28371890
"Playing God",2019-10-17,"Thriller/Suspense","R",4166918,7652965
"Flubber",2019-11-26,"Comedy","PG",92993801,170406423
"An American Werewolf in Paris",2019-12-25,"Horror","R",26570463,48546161
"Mr. Magoo",2019-12-25,"Comedy","PG",21437192,39145784
"Kundun",2019-12-25,"Drama","PG-13",5686694,10236836
"Deep Rising",2019-01-30,"Action","R",11203026,20136775
"Krippendorf's Tribe",2019-02-27,"Comedy","PG-13",7571115,13608633
"An Alan Smithee Film: Burn Hollywood …",2019-02-27,"Comedy","R",45779,82277
"Meet the Deedles",2019-03-27,"Comedy","PG",4356126,7829877
"He Got Game",2019-05-01,"Drama","R",21567853,38766948
"The Horse Whisperer",2019-05-15,"Drama","PG-13",75383563,135497531
"Six Days, Seven Nights",2019-06-12,"Romantic Comedy","PG-13",74339294,133620516
"Mulan",2019-06-19,"Adventure","G",120620254,216807832
"Armageddon",2019-07-01,"Adventure","PG-13",201578182,362324957
"Jane Austen's Mafia",2019-07-24,"Comedy","PG-13",19843795,35668055
"The Parent Trap",2019-07-29,"Comedy","PG",66308518,119185667
"Firelight",2019-09-04,"Drama","R",784419,1409943
"Simon Birch",2019-09-11,"Drama","PG",18253415,32809442
"Holy Man",2019-10-09,"Comedy","PG",12069719,21694605
"Beloved",2019-10-16,"Drama","R",22852487,41062682
"The Waterboy",2019-11-06,"Comedy","PG-13",161491646,288691833
"I'll Be Home For Christmas",2019-11-13,"Comedy","PG",12214338,21941840
"A Bug's Life",2019-11-20,"Adventure","G",162798565,288981698
"Enemy of the State",2019-11-20,"Action","R",111549836,198472008
"Rushmore",2019-12-11,"Black Comedy","R",17105219,28392518
"A Civil Action",2019-12-25,"Drama","PG-13",56709981,94139530
"Mighty Joe Young",2019-12-25,"Adventure","PG",50632037,87906042
"My Favorite Martian",2019-02-12,"Comedy","PG",36850101,61150849
"The Other Sister",2019-02-26,"Romantic Comedy","PG-13",27807627,46145331
"Doug's 1st Movie",2019-03-26,"Adventure","G",19421271,32228598
"Ten Things I Hate About You",2019-03-31,"Romantic Comedy","PG-13",38177966,63354375
"Endurance",2019-05-14,NA,"PG",229128,380218
"Instinct",2019-06-04,"Drama","R",34105207,56595842
"Tarzan",2019-06-16,"Adventure","G",171091819,283900254
"Summer of Sam",2019-07-02,"Drama","R",19288130,32007656
"Inspector Gadget",2019-07-23,"Comedy","PG",97387965,161610341
"The Sixth Sense",2019-08-06,"Thriller/Suspense","PG-13",293506292,485424724
"The 13th Warrior",2019-08-27,"Action","R",32698899,54262148
"Breakfast of Champions",2019-09-17,"Comedy","R",178287,295851
"Mumford",2019-09-24,"Comedy","R",4559569,7566363
"Mystery, Alaska",2019-10-01,"Comedy","R",8891623,14755189
"The Straight Story",2019-10-15,"Drama","G",6197866,10111144
"The Insider",2019-11-05,"Drama","R",28965197,47794214
"Toy Story 2",2019-11-19,"Adventure","G",245852179,404450426
"Cradle Will Rock",2019-12-08,"Drama","R",2899970,4609153
"Deuce Bigalow: Male Gigolo",2019-12-10,"Comedy","R",65535067,106921374
"Bicentennial Man",2019-12-17,"Drama","PG",58220776,94838225
"Play it to the Bone",2019-12-24,"Comedy","R",8427204,13180524
"Fantasia 2000 (IMAX)",2020-01-01,"Musical","G",60507228,94852354
"Gun Shy",2020-02-04,"Comedy","R",1638202,2562155
"The Tigger Movie",2020-02-11,"Adventure","G",45542421,71228678
"Mission to Mars",2020-03-10,"Adventure","PG",60874615,95208344
"High Fidelity",2020-03-31,"Comedy","R",27277055,42661516
"Keeping the Faith",2020-04-14,"Romantic Comedy","PG-13",37036404,57925202
"Dinosaur",2020-05-19,"Adventure","PG",137748063,215438985
"Shanghai Noon",2020-05-26,"Western","PG-13",56932305,89042541
"Gone in 60 Seconds",2020-06-09,"Action","PG-13",101643008,158970411
"Fantasia 2000 (Theatrical Release)",2020-06-16,"Musical","G",9103630,14238144
"The Kid",2020-07-07,"Comedy","PG",69688384,108993148
"Coyote Ugly",2020-08-04,"Drama","PG-13",60786269,95070168
"The Crew",2020-08-25,"Comedy","PG-13",13019253,20362201
"Duets",2020-09-15,"Drama","R",4734235,7404372
"Remember the Titans",2020-09-29,"Drama","PG",115654751,180742479
"Unbreakable",2020-11-22,"Thriller/Suspense","PG-13",94999143,148208901
"102 Dalmatians",2020-11-22,"Comedy","G",66941559,104055039
"The Emperor's New Groove",2020-12-15,"Adventure","G",89296573,136789252
"O Brother, Where Art Thou?",2020-12-22,"Comedy","PG-13",45506619,67922002
"Double Take",2020-01-12,"Action","PG-13",29823162,44418589
"Recess: School's Out",2020-02-16,"Comedy","G",36696761,54656124
"Just Visiting",2020-04-06,"Comedy","PG-13",4777007,7114869
"Pearl Harbor",2020-05-25,"Action","PG-13",198539855,295705112
"Atlantis: The Lost Empire",2020-06-08,"Adventure","PG",84052762,125188122
"crazy/beautiful",2020-06-29,"Drama","PG-13",16929123,25214223
"The Princess Diaries",2020-08-03,"Comedy","G",108244774,161218928
"Bubble Boy",2020-08-24,"Comedy","PG-13",5002310,7450434
"Max Keeble's Big Move",2020-10-05,"Comedy","PG",17292381,25749730
"Corky Romano",2020-10-12,"Comedy","PG-13",23978402,35705805
"High Heels and Low Lifes",2020-10-26,NA,"R",226792,337782
"Monsters, Inc.",2020-11-02,"Adventure","G",289423425,416073179
"Out Cold",2020-11-21,"Comedy","PG-13",13906394,20700691
"The Royal Tenenbaums",2020-12-14,"Black Comedy","R",52353636,76758193
"Beauty and the Beast (IMAX)",2020-01-01,"Musical","G",25487028,36980311
"Frank McKlusky C.I.",2020-01-01,NA,NA,0,0
"Snow Dogs",2020-01-18,"Comedy","PG",81150692,117745317
"The Count of Monte Cristo",2020-01-25,"Drama","PG-13",54228104,78682079
